Minangkabau	Indonesia
malindungi	melindungi
malingka	melingkar
malingkupi	melingkupi
malintang	melintang
malinteh	melintas
malintehi	melintasi
malipuiki	meliputi
maliput	meliputi
maliputi	meliputi
maliter	militer
mall	mall
malobi	melobi
malompek	melompat
malu	malu
malukih	melukis
malukoi	melukai
maluku	maluku
maluluihkan	meluluskan
malunak	melunak
maluncuakan	meluncurkan
maluncuran	peluncuran
maluruihan	meluruskan
mamaafkan	memaafkan
mamacah	memecah
mamacahan	memecahkan
mamaciak	memegang
mamacik	memegang
mamadaman	memadamkan
mamadekan	memadatkan
mamadukan	memadukan
mamagang	memegang
mamahami	memahami
mamainan	memainkan
mamainkan	memainkan
mamajukan	memajukan
mamak	mamak
mamakai	memakai
mamakainyo	memakainya
mamakan	memakan
mamakannyo	memakannya
mamaknyo	mamaknya
mamakso	memaksa
mamalia	mamalia
mamaliharo	memelihara
mamalopori	mempelopori
mamaluak	memeluk
mamanangan	memenangkan
mamanangi	memenangi
mamanangkan	memenangkan
mamanca	memencar
mamancakan	memencarkan
mamanciang	memancing
mamandang	memandang
mamanfaaikan	memanfaatkan
mamanfaatan	memanfaatkan
mamanfaikan	memanfaatkan
mamanggia	memanggil
mamanggianyo	memanggilnya
mamangku	memangku
mamanipulasi	memanipulasi
mamanjang	memajang
mamanjek	memanjat
mamantiangan	mementingkan
mamanuahi	memenuhi
mamanuhi	memenuhi
mamaraluan	memerlukan
mamaralukan	memerlukan
mamarangi	memerangi
mamarankan	memerankan
mamarentah	memerintah
mamareso	memeriksa
mamarikso	memeriksa
mamarintah	memerintah
mamarintahan	memerintahkan
mamarintahkan	memerintahkan
mamarlukan	memerlukan
mamasak	memasak
mamasan	memesan
mamasang	memasang
mamaso	memaksa
mamastian	memastikan
mamastikan	memastikan
mamasuak	memasukkan
mamasuakan	memasukkan
mamasuaki	memasuki
mamasukan	memasukkan
mamasuki	memasuki
mamatahan	mematahkan
mamatian	mematikan
mambaco	membaca
mambaconyo	membacanya
mambagi	membagi
mambahas	membahas
mambaka	membakar
mambalah	membelah
mambalakuan	memberlakukan
mambaleh	membalas
mambali	membeli
mambanaan	memohon
mambanakan	membenarkan
mambandiangkan	membandingkan
mambangkak	membengkak
mambangkik	membangkitkan
mambangkikan	membangkitkan
mambangun	membangun
mambantah	membantah
mambantang	membentang
mambantu	membantu
mambantuak	membentuk
mambao	membawa
mambaok	membawa
mambaoknyo	membawanya
mambarantas	memberantas
mambarasiahan	membersihkan
mambarasihan	membersihkan
mambari	memberi
mambarian	memberikan
mambarikan	memberikan
mambaro	membara
mambarontak	memberontak
mambasuah	membasuh
mambataan	membatalkan
mambatehi	membatasi
mambawahi	membawahi
mambawok	membawa
mambayangkan	membayangkan
mambayia	membayar
mambebaskan	membebaskan
mambedaan	membedakan
mambedaannyo	membedakannya
mambedakan	membedakan
mambedakannyo	membedakannya
mambela	membela
mambelokan	membelokkan
mambidangi	membidangi
mambilai	membelai
mambimbiang	membimbing
mambina	membina
mambintangi	membintangi
mambo	mambo
mambongka	membongkar
mambuang	membuang
mambubarkan	membubarkan
mambuek	membuat
mambueknyo	membuatnya
mambujua	membujur
mambuka	membuka
mambukak	membuka
mambuko	membuka
mambuktian	membuktikan
mambuktikan	membuktikan
mambulek	membulatkan
mambunuah	membunuh
mambunuahnyo	membunuhnya
mamburu	memburu
mambusuak	membusuk
mambutuahan	membutuhkan
mambutuahkan	membutuhkan
mambutuhan	membutuhkan
mamegang	memegang
mamelokan	memperbaiki
mamicu	memicu
mamihak	memihak
mamikek	memikat
mamiliah	memilih
mamiliaki	memiliki
mamilih	memilih
mamiliki	memiliki
mamilki	memiliki
mamimpian	memimpikan
mamimpin	memimpin
maminang	meminang
mamindahan	memindahkan
mamindahkan	memindahkan
maminjam	meminjam
maminta	meminta
mamintak	meminta
maminteh	memintas
maminto	meminta
maminum	meminum
mamisahkan	memisahkan
mamohon	memohon
mamotivasi	memotivasi
mamotong	memotong
mampabanyak	memperbanyak
mampabarui	memperbarui
mampacaliak	memperlihatkan
mampacaliakan	memperlihatkan
mampacapek	mempercepat
mampadalam	memperdalam
mampaelok	memperbaiki
mampagunoan	mempergunakan
mampajaleh	memperjelas
mampajuangan	memperjuangkan
mampakanaan	mengingatkan
mampakanakan	memperkenalkan
mampakanalkan	memperkenalkan
mampakayo	memperkaya
mampakiroan	memperkirakan
mampakuaik	memperkuat
mampakuek	memperkuat
mampalaweh	memperluas
mampaliekan	memperlihatkan
mampamudah	mempermudah
mampangaruahi	mempengaruhi
mampangaruhi	mempengaruhi
mampapanjang	memperpanjang
mamparancak	memperbagus
mamparatian	memperhatikan
mamparatikan	mempraktikkan
mamparetongkan	memperhitungkan
mamparingati	memperingati
mamparoleh	memperoleh
mampartahankan	mempertahankan
mampasiapan	mempersiapkan
mampasiapkan	mempersiapkan
mampatahanan	mempertahankan
mampatahankan	mempertahankan
mampatimbangkan	mempertimbangkan
mampelokan	memperbaiki
mampermudah	mempermudah
mampicayoi	mempercayai
mamprakarsai	memprakarsai
mamproduksi	memproduksi
mampromosian	mempromosikan
mampromosikan	mempromosikan
mamprotes	memprotes
mampu	mampu
mampunyai	mempunyai
mampunyoi	mempunyai
mampunyoii	mempunyai
mamuaskan	memuaskan
mamudahan	memudahkan
mamudahkan	memudahkan
mamuehan	memuaskan
mamuek	memuat
mamuja	memuja
mamukau	memukau
mamukua	memukul
mamulai	memulai
mamuliakan	memuliakan
mamuncak	memuncak
mamunculan	memunculkan
mamungkinan	memungkinkan
mamungkinkan	memungkinkan
mamurnian	memurnikan
mamutuih	memutus
mamutuihan	memutuskan
mamutuihkan	memutuskan
mamutusan	memutuskan
mamutuskan	memutuskan
man	man
mana	mana
manabik	menerbitkan
manabikkan	menerbitkan
manabuah	memukul
manabuak	memukul
manabuih	menebus
manado	manado
manafsiran	menafsirkan
managah	melarang
managak	mendirikan
managakan	menegakkan
managakkan	mendirikan
managehan	melarang
managehkan	menegaskan
manager	manajer
manahan	menahan
manaiakan	menaikkan
manajamahan	menerjemahkan
manajemen	manajemen
manajer	manajer
manakan	kemenakan
manakanan	menekankan
manakankan	menekankan
manaklukkan	menaklukkan
manakok	menebak
manakuni	menekuni
manalepon	menelpon
manaliti	meneliti
manamai	menamai
manamaik	menamatkan
manamaikan	menamakan
manamatkan	menamatkan
manambah	menambah
manambahkan	menambahkan
manambang	menambang
manambiak	mengambil
manambuah	menambah
manambuih	menembus
manampaikan	menempatkan
manampakkan	menampakkan
manampati	menempati
manampek	menempati
manampekan	menempatkan
manampeki	menempati
manampekkan	menempatkan
manampilan	menampilkan
manampilkan	menampilkan
manampuah	menempuh
manampuang	menampung
manamuan	menemukan
manamui	menemui
manamukan	menemukan
manan	manan
mananam	menanam
mananamkan	menanamkan
manandatangani	menandatangani
manandokan	menandakan
manandotangani	menandatangani
manang	menang
manangah	melerai
manangani	menangani
mananggapi	menanggapi
manangguang	menanggung
manangih	menangis
manangkih	menangkis
manangkok	menangkap
manangkoknyo	menangkapnya
mananjak	menanjak
manantang	menantang
mananti	menanti
manantuan	menentukan
manantukan	menentukan
mananun	menenun
mananyoan	menanyakan
mananyokan	menanyakan
manara	menara
manarangi	menerangi
manarangkan	menerangkan
manarapkan	menerapkan
manarbitan	menerbitkan
manarbitkan	menerbitkan
manargetkan	menargetkan
manari	menari
manariak	menarik
manarik	menarik
manariknyo	menariknya
manarimo	menerima
manaro	menara
manaruih	meneruskan
manaruihan	meneruskan
manaruihkan	meneruskan
manata	menata
manatap	menatap
manatapan	menerapkan
manateh	menetas
manato	menata
manatok	menatap
manatokan	menata
manatuan	menentukan
manawarkan	menawarkan
mancabuik	mencabut
mancaduak	mencaduk
mancagah	mencegah
mancaia	mencair
mancakam	mencekam
mancakuik	mencakup
mancakup	mencakup
mancaliak	melihat
mancaliakkan	memperlihatkan
mancaliaknyo	melihatnya
mancaliek	melihat
mancalik	melihat
mancalonan	mencalonkan
mancalonkan	mencalonkan
mancaminan	mencerminkan
mancaminkan	mencerminkan
mancampua	mencampur
mancanangkan	mencanangkan
mancangkua	mencangkul
mancangkup	mencakup
mancapai	mencapai
mancari	mencari
mancarian	mencarikan
mancaritoan	menceritakan
mancaritokan	menceritakan
mancataik	mencatat
mancatat	mencatat
mancatatkan	mencatatkan
mancegah	mencegah
mancerdaskan	mencerdaskan
mancerna	mencerna
mancetak	mencetak
manci	manci
mancik	tikus
mancilok	mencuri
mancimeeh	menghina
mancintoi	mencintai
manciptaan	menciptakan
manciptakan	menciptakan
manciptokan	menciptakan
mancium	mencium
mancogok	muncul
mancolok	mencolok
mancopot	mencopot
mancubo	mencoba
mancuci	mencuci
mancukua	mencukur
mancukuik	mencukup
mancukuiki	mencukupi
mancurahan	mencurahkan
mandaftar	mendaftar
mandaftaran	mendaftarkan
mandaftarkan	mendaftarkan
mandailing	mandailing
mandakam	mendekam
mandakek	mendekat
mandaki	mendaki
mandala	mandala
mandalam	mendalami
mandalami	mendalami
mandampingi	mendampingi
mandanai	mendanai
mandanga	mendengar
mandapaek	mendapat
mandapaik	mendapat
mandapaikan	mendapatkan
mandapek	mendapat
mandapekan	mendapatkan
mandapeki	mendapati
mandapekkan	mendapatkan
mandarin	mandarin
mandarito	menderita
mandasak	mendesak
mandasarinyo	mendasarinya
mandat	mandat
mandatang	mendatang
mandatangan	mendatangkan
mandatangi	mendatangi
mandau	mandau
mande	ibu
mandefinisikan	mendefinisikan
mandeh	ibu
mandehnyo	ibunya
mandeklarasikan	mendeklarasikan
mandendangan	mendendangkan
mandendangkan	mendendangkan
mandenyo	ibunya
mandeskripsian	mendeskripsikan
mandeteksi	mendeteksi
mandi	mandi
mandiami	mendiami
mandiang	mending
mandiangin	mendingin
mandidiah	mendidih
mandidiak	mendidik
mandiri	mandiri
mandirian	mendirikan
mandirikan	mendirikan
mandominasi	mendominasi
mandor	mendor
mandorong	mendorong
mandorongnyo	mendorongnya
mandua	mendua
manduduak	menduduki
manduduakan	mendudukkan
manduduaki	menduduki
manduduki	menduduki
manduga	menduga
mandukuang	mendukung
manejer	manajer
manekuni	menekuni
manembak	menembak
manembus	menembus
manemui	menemui
manerapkan	menerapkan
manerbitkan	menerbitkan
manetap	menetap
manetapkan	menetapkan
manetralkan	menetralkan
manfaaik	manfaat
manfaat	manfaat
manfaatan	memanfaatkan
manga	manga
mangabdi	mengabdi
mangabdian	mengabdikan
mangacu	mengacu
mangadoan	mengadakan
mangadokan	mengadakan
mangadopsi	mengadopsi
mangagumi	mengagumi
mangagumkan	mengagumkan
mangaja	mengajar
mangajak	mengajak
mangajar	mengajar
mangaji	mengaji
mangajukan	mengajukan
mangakhiri	mengakhiri
mangakibaikan	mengakibatkan
mangakok	kenapa
mangaku	mengaku
mangakui	mengakui
mangalabui	mengelabui
mangalahan	mengalahkan
mangalahkan	mengalahkan
mangalia	mengalir
mangaliahan	mengalihkan
mangaliliangi	mengelilingi
mangalola	mengelola
mangalompokkan	mengelompokkan
mangaluaan	mengeluarkan
mangaluah	mengeluh
mangaluakan	mengeluarkan
mangaluan	mengeluarkan
mangamankan	mengamankan
mangamban	mengemban
mangambang	mengambang
mangambangan	mengembangkan
mangambangkan	mengembangkan
mangambiak	mengambil
mangana	mengingat
manganai	mengenai
manganakan	mengingatkan
manganalan	mengenalkan
manganalisis	menganalisis
manganang	mengenang
mangancam	mengancam
mangandalian	mengandalkan
mangandalikan	mengendalikan
mangandalkan	mengandalkan
manganduang	mengandung
manganggap	menganggap
manganggapnyo	menganggapnya
mangangkek	mengangkat
mangangkuik	mengangguk
manganoi	mengenai
manganta	mengantar
mangantisipasi	mengantisipasi
manganuik	menganut
manganyam	menganyam
mangarah	mengarah
mangarahkan	mengarahkan
mangarajoan	mengerjakan
mangarajokan	mengerjakan
mangarang	mengarang
mangarati	mengerti
mangarikan	mengerikan
mangasankan	mengesankan
mangasiakan	menghasilkan
mangasuah	mengasuh
mangatahui	mengetahui
mangatasi	mengatasi
mangataui	mengetahui
mangato	berbicara
mangatoan	mengatakan
mangatokan	mengatakan
mangatua	mengatur
mangatur	mengatur
mangawali	mengawali
mangawasi	mengawasi
mangecam	mengecam
mangecek	berbicara
mangecekan	mengatakan
mangemban	mengemban
mangembangkan	mengembangkan
mangenai	mengenai
mangenal	mengenal
mangenalkan	mengenalkan
mangetek	mengecil
mangga	mangga
manggabuangan	menggabungkan
manggabuangkan	menggabungkan
manggadang	membesar
manggadangan	membesarkan
manggaduah	menggaduh
manggala	menggala
manggalagak	mendidih
manggaleh	berjualan
manggali	menggali
manggambaan	menggambarkan
manggambakan	menggambarkan
manggambar	menggambar
manggambaran	menggambarkan
mangganggu	mengganggu
mangganti	mengganti
manggantian	menggantikan
manggantikan	menggantikan
manggantikannyo	menggantikannya
manggantinyo	menggantinya
manggantuang	menggantung
manggarakan	menggerakkan
manggarakkan	menggerakkan
manggarap	menggarap
manggarik	bergerak
manggendong	menggendong
manggenggong	menggonggong
manggerek	menggoyang
manggigik	menggigit
manggoreng	menggoreng
manggugat	menggugat
manggunakan	menggunakan
mangguncang	mengguncang
mangguno	menggunakan
manggunoan	menggunakan
manggunokan	menggunakan
manggunokannyo	menggunakannya
manghadapi	menghadapi
manghadiri	menghadiri
manghancuakan	menghancurkan
manghasiakan	menghasilkan
manghasilan	menghasilkan
manghasilkan	menghasilkan
manghiasi	menghiasi
manghidangkan	menghidangkan
manghindari	menghindari
manghormati	menghormati
manghubuangkan	menghubungkan
manghubungkan	menghubungkan
mangikuikan	mengikuti
mangikuti	mengikuti
mangimpor	mengimpor
mangindikasikan	mengindikasikan
mangingek	mengingat
manginginkan	menginginkan
manginjak	menginjak
manginspirasi	menginspirasi
mangiriangi	mengiringi
mangirim	mengirim
mangirimkan	mengirimkan
mangiringi	mengiringi
mangiro	mengira
mangisahan	mengisahkan
mangisi	mengisi
mangkaji	mengkaji
mangkaritik	mengkritik
mangkaritisi	mengkritisi
mangkat	mangkat
mangklaim	mengklaim
mangko	maka
mangkok	mangkok
mangkonfirmasi	mengkonfirmasi
mangkonsumsi	mengkonsumsi
mangkonyo	makanya
mangkritik	mengkritik
mangkritisi	mengkritisi
mangkuak	mangkuk
mangkunegara	mangkunegara
mangobarkan	mengobarkan
mangolah	mengolah
mangomentari	mengomentari
mangonfirmasi	mengonfirmasi
mangonsumsi	mengonsumsi
mangontrol	mengontrol
mangoperasikan	mengoperasikan
mangorbankan	mengorbankan
mangorbit	mengorbit
mangoreksi	mengoreksi
mangoyak	mengoyak
mangso	mangsa
mangsonyo	mangsanya
manguasai	menguasai
manguasoi	menguasai
mangubah	mengubah
mangubuangkan	menghubungkan
manguek	menguat
manguekan	menguatkan
mangukuahan	mengukuhkan
mangumandangkan	mengumandangkan
mangumpuaan	mengumpulkan
mangumpuan	mengumpulkan
mangumuman	mengumumkan
mangumumkan	mengumumkan
mangundang	mengundang
mangunduakan	mengendurkan
mangundurkan	mengundurkan
mangungkapkan	mengungkapkan
mangungsi	mengungsi
mangunjuangi	mengunjungi
mangunjungi	mengunjungi
manguntuangkan	menguntungkan
mangurangi	mengurangi
manguruih	mengurus
mangusulkan	mengusulkan
mangutip	mengutip
mangutuak	mengutuk
manih	manis
manikah	menikah
manikahi	menikahi
manikmati	menikmati
manila	manila
manilai	menilai
manimbo	menimba
manimbuaan	menimbulkan
manimbuakan	menimbulkan
manimbulkan	menimbulkan
manimpok	menimpa
maningga	meninggal
maninggaan	meninggalkan
maninggakan	meninggalkan
maningganyo	meninggalnya
maningkaikan	meningkatkan
maningkekan	meningkatkan
maningkeknyo	meningkatkan
maniru	meniru
manirukan	menirukan
manis	manis
maniti	meniti
manitiak	menitik
manjabaik	menjabat
manjabat	menjabat
manjabek	menjabat
manjadi	menjadi
manjadian	menjadikan
manjadiannyo	menjadikannya
manjadikan	menjadikan
manjadikannyo	menjadikannya
manjado	menjadi
manjago	menjaga
manjajah	menjajah
manjalanan	menjalankan
manjalang	menjelang
manjalani	menjalani
manjalankan	menjalankan
manjalehan	menjelaskan
manjalin	menjalin
manjalo	menjala
manjangkau	menjangkau
manjangkik	terjangkit
manjatuahan	menjatuhkan
manjawek	menjawab
manjolong	menjolong
manjorok	menjorok
manjua	menjual
manjuaan	menjualkan
manjuanyo	menjualnya
manjuarai	menjuarai
manjulang	menjulang
manjunjuang	menjunjung
manobatkan	menobatkan
manolak	menolak
manoloang	menolong
manolong	menolong
manolongnyo	menolongnya
manonjol	menonjol
manonton	menonton
manopang	menopang
manopun	manapun
manorehan	menorehkan
manorehkan	menorehkan
manpaaik	manfaat
mantah	mentah
mantan	mantan
mantari	mentari
mantra	mantra
manuai	menuai
manuangkan	menuangkan
manuduah	menuduh
manufaktur	manufaktur
manuka	menukar
manukuak	menukik
manula	menular
manulak	menolak
manulih	menulis
manulihan	menuliskan
manulihkan	menuliskan
manulihnyo	menulisnya
manulis	menulis
manumpang	menumpang
manumpas	menumpas
manunaian	menunaikan
manundo	menunda
manunggu	menunggu
manunjang	menunjang
manunjuak	menunjuk
manunjuakan	menunjukkan
manunjuakkan	menunjukkan
manunjuk	menunjuk
manunjukan	menunjukkan
manunjukkan	menunjukkan
manuntuik	menuntut
manuruik	menurut
manuruikan	mengikuti
manuruiknyo	menurutnya
manurun	menurun
manurunan	menurunkan
manurunkan	menurunkan
manurunnyo	menurunnya
manurut	menurut
manusia	manusia
manusio	manusia
manuskrip	manuskrip
manutuik	menuntut
manyabab	menyebab
manyababan	menyebabkan
manyababkan	menyebabkan
manyabarangi	menyeberangi
manyabuik	menyebut
manyabuikan	menyebutkan
manyabuikkan	menyebutkan
manyabuiknyo	menyebutnya
manyadari	menyadari
manyadihan	menyedihkan
manyadioan	menyediakan
manyadiokan	menyediakan
manyajian	menyajikan
manyajikan	menyajikan
manyakek	menyekat
manyaksikan	menyaksikan
manyalahi	menyalahi
manyalam	menyelam
manyalamaikan	menyelamatkan
manyalanggaroan	menyelenggarakan
manyalanggarokan	menyelenggarakan
manyalasaian	menyelesaikan
manyalasaikan	menyelesaikan
manyaliak	melihat
manyalidiki	menyelidiki
manyaluran	menyalurkan
manyambah	menyembah
manyambuang	menyambung
manyambuangkan	menyambungkan
manyambuik	menyambut
manyambung	menyambung
manyamoi	menyamai
manyampaian	menyampaikan
manyampaikan	menyampaikan
manyamparonokan	menyempurnakan
manyanangan	menyenangkan
manyandang	menyandang
manyanggupi	menyanggupi
manyangkal	menyangkal
manyangkuik	menyangkut
manyantuah	menyentuh
manyanyi	menyanyi
manyanyikan	menyanyikan
manyar	manyar
manyarah	menyerah
manyarahan	menyerahkan
manyarahkan	menyerahkan
manyaranan	menyarankan
manyarang	menyerang
manyarangnyo	menyerangnya
manyarankan	menyarankan
manyaratokan	menyertakan
manyarupoi	menyerupai
manyasuaian	menyesuaikan
manyasuaikan	menyesuaikan
manyatoan	menyatakan
manyatu	menyatu
manyatujui	menyetujui
manyatukan	menyatukan
manyeba	menyebar
manyebaan	menyebarkan
manyebaban	menyebabkan
manyebar	menyebar
manyebarkan	menyebarkan
manyempatan	menyempatkan
manyeo	menyewa
manyerang	menyerang
manyerap	menyerap
manyeru	menyeru
manyewa	menyewa
manyiakan	menyiarkan
manyiapan	menyiapkan
manyiapkan	menyiapkan
manyiarkan	menyiarkan
manyigi	menyigi
manyimpan	menyimpan
manyimpang	menyimpang
manyimpuakan	menyimpulkan
manyingkiakan	menyingkirkan
manyingkian	menyingkirkan
manyisoan	menyisakan
manyisokan	menyisakan
manyuaroan	menyuarakan
manyubarangi	menyeberangi
manyukoi	menyukai
manyumbang	menyumbang
manyumbangan	menyumbangkan
manyumbangkan	menyumbangkan
manyuntiang	menyunting
manyuruah	memerintahkan
manyuruak	menyelip
manyusua	menyusul
manyusui	menyusui
manyusuik	menyusut
manyusul	menyusul
manyusun	menyusun
maolah	mengolah
maota	mengobrol
maproklamasian	memproklamasikan
mar	mar
mara	mara
marabuik	merebut
maragang	meregang
marah	marah
maraiah	meraih
maraih	meraih
marajah	merajah
marajo	marajo
marajoi	merajai
maram	mengeram
marambah	merambah
marambaik	merambat
marambat	merambat
marambek	merambat
marancanakan	merencanakan
marancang	merancang
marancanokan	merencanakan
marangkuah	meraih
marantau	merantau
maranuang	merenung
marapi	merapi
maras	maras
marasioan	merahasiakan
maraso	merasa
marasoan	merasakan
marasokan	merasakan
marato	merata
maraton	maraton
marauah	meraih
marawaik	merawat
marayoan	merayakan
mare	mare
marekam	merekam
marekrut	merekrut
marencanakan	merencanakan
marenovasi	merenovasi
marepresentasikan	merepresentasikan
maresek	bersalaman
maresepkan	meresepkan
maresmian	meresmikan
marespon	merespon
maret	maret
marga	marga
margarin	margarin
margo	marga
mari	mari
maria	maria
mariam	mariam
marica	merica
marilah	marilah
marilih	merilis
marilis	merilis
marine	marine
marintang	merintang
marintih	merintis
marintis	merintis
maritim	maritim
maritima	maritima
mariwayaikan	meriwayatkan
mark	mark
markah	markah
markas	markas
markis	markis
maroko	maroko
maropoan	merupakan
mars	mars
marsekal	marsekal
martabak	martabak
martin	martin
martini	martini
marujuak	merujuk
marunciang	meruncingkan
marundiangkan	merundingkan
marupakan	merupakan
marupoan	merupakan
marupokan	merupakan
marupon	merupakan
marupuoan	merupakan
marusak	merusak
marx	marx
marxisme	marxisme
marzuki	marzuki
mas	mas
masa	masa
masajik	mesjid
masak	masak
masakan	masakan
masal	masal
masalah	masalah
masanya	masanya
masarakaik	masyarakat
masarakaiknyo	masyarakatnya
masehi	masehi
masia	kering
masiang	masing
masif	masif
masih	masih
masin	mesin
masing	masing
masinnyo	mesinnya
masjid	masjid
masjidil	masjidil
maskapai	maskapai
maskipun	meskipun
maso	masa
mason	mason
masonyo	masanya
massa	massa
massal	massal
master	master
masuak	masuk
masuakan	masukkan
masuakkan	masukkan
masuaknyo	masuknya
masuk	masuk
masyarakai	masyarakat
masyarakaiak	masyarakat
masyarakaik	masyarakat
masyarakaiknyo	masyarakatnya
masyarakat	masyarakat
masyarakek	masyarakat
mat	mat
mata	mata
matah	mentah
matahari	matahari
matang	matang
mataram	mataram
matematika	matematika
matematikawan	matematikawan
materi	materi
material	material
mati	mati
matinggi	meninggi
matinyo	matinya
mato	mata
matoari	matahari
matohari	matahari
matonyo	matanya
matrilineal	matrilineal
matua	matur
matur	matur
mau	mau
maubah	mengubah
maubek	mengobati
maubekan	mengobati
maubuangan	menghubungkan
maubuangkan	menghubungkan
maucapkan	mengucapkan
mauji	menguji
maukia	mengukir
maukua	mengukur
maulana	maulana
maulid	maulid
maumuman	mengumumkan
maumumkan	mengumumkan
maundang	mengundang
maunduaan	mengundurkan
maunduran	memundurkan
maundurkan	mengundurkan
mauni	menghuni
maunyi	menghuni
maupun	maupun
mauritania	mauritania
mauritius	mauritius
mauruih	mengurus
maurus	mengurus
mausaoan	mengusahakan
mausia	mengusir
mausuang	mengusung
mausulan	mengusulkan
mawajibkan	mewajibkan
mawakili	mewakili
mawar	mawar
mawin	mawin
maya	maya
mayakini	meyakini
mayang	mayang
mayjen	mayjen
mayor	mayor
mayoritas	mayoritas
mayua	mayur
mazhab	mazhab
md	md
mdpl	mdpl
me	me
medali	medali
medan	medan
medang	medang
media	media
medik	medik
medis	medis
meditasi	meditasi
mediterania	mediterania
mega	mega
megah	megah
mei	mei
meja	meja
mekah	mekah
mekanik	mekanik
mekanika	mekanika
mekanisme	mekanisme
mekar	mekar
meksiko	meksiko
melaka	melaka
melakukan	melakukan
melalui	melalui
melanesia	melanesia
melanjuik	melanjutkan
melanjuikan	melanjutkan
melanjuikkan	melanjutkan
melanjutkan	melanjutkan
melati	melati
melawan	melawan
melayani	melayani
melayu	melayu
melebihi	melebihi
melihat	melihat
melik	melik
melinting	melinting
meliputi	meliputi
melitus	melitus
memahami	memahami
memandu	memandu
memanfaatkan	memanfaatkan
memang	memang
memaparkan	memaparkan
membaca	membaca
membahas	membahas
membangun	membangun
membawa	membawa
membawahi	membawahi
membayar	membayar
memberikan	memberikan
membesarkan	membesarkan
membicarakan	membicarakan
membina	membina
membran	membran
membuat	membuat
membuek	membuat
membujuk	membujuk
memenuhi	memenuhi
memiliah	memilih
memiliki	memiliki
memimpin	memimpin
memori	memori
memorial	memorial
memperingati	memperingati
mempermudah	mempermudah
memperoleh	memperoleh
mempunyai	mempunyai
mempunyoi	mempunyai
menang	menang
menanti	menanti
menara	menara
menarik	menarik
menawarkan	menawarkan
mencari	mencari
mencegah	mencegah
menceritakan	menceritakan
menciptakan	menciptakan
mencoba	mencoba
mencubo	mencoba
mendaftar	mendaftar
mendagri	mendagri
mendapek	mendapat
mendeklarasikan	mendeklarasikan
mendengarkan	mendengarkan
mendukuang	mendukung
mendukung	mendukung
menembak	menembak
menempuh	menempuh
menerangkan	menerangkan
menerbitkan	menerbitkan
meneruskan	meneruskan
menetap	menetap
menewaskan	menewaskan
mengajak	mengajak
mengajar	mengajar
mengamalkan	mengamalkan
menganduang	mengandung
mengandung	mengandung
mengandungi	mengandungi
mengantar	mengantar
mengapa	mengapa
mengatakan	mengatakan
mengateh	mengatas
mengatokan	mengatakan
mengebom	mengebom
mengembara	mengembara
mengenai	mengenai
mengenang	mengenang
mengenyam	mengenyam
mengetahui	mengetahui
mengganti	mengganti
menggenggam	menggenggam
menggugah	menggugah
menggunokan	menggunakan
menghadap	menghadap
menghasilkan	menghasilkan
mengikuti	mengikuti
mengingat	mengingat
mengirim	mengirim
mengirimkan	mengirimkan
mengisi	mengisi
menguak	menguak
menguasai	menguasai
mengubah	mengubah
mengumumkan	mengumumkan
mengundurkan	mengundurkan
menikah	menikah
menikahi	menikahi
meningga	meninggal
meninggal	meninggal
meningitis	meningitis
menit	menit
menjabat	menjabat
menjadi	menjadi
menjaga	menjaga
menjalani	menjalani
menjerat	menjerat
menko	menko
menolak	menolak
menolong	menolong
menonjol	menonjol
menstruasi	menstruasi
mentah	mentah
mental	mental
mentawai	mentawai
mentega	mentega
menteng	menteng
menteri	menteri
mentor	mentor
menu	menu
menuai	menuai
menuju	menuju
menulih	menulis
menulis	menulis
menunggu	menunggu
menuruik	menurut
menurun	menurun
menurut	menurut
menyabuikan	menyebutkan
menyadari	menyadari
menyaksikan	menyaksikan
menyalasaian	menyelesaikan
menyambut	menyambut
menyatokan	menyatakan
menyebaban	menyebabkan
menyebabkan	menyebabkan
menyebar	menyebar
menyebut	menyebut
menyediakan	menyediakan
menyerahkan	menyerahkan
menyukoi	menyukai
merah	merah
meraiah	meraih
meraih	meraih
merantau	merantau
meranti	meranti
merapi	merapi
merauke	merauke
merbau	merbau
merdeka	merdeka
merek	merek
mereka	mereka
meriah	meriah
meridian	meridian
merkantilisme	merkantilisme
merpati	merpati
merugikan	merugikan
merujuak	merujuk
merupakan	merupakan
merupoan	merupakan
merupokan	merupakan
mesias	mesias
mesin	mesin
mesir	mesir
meski	meski
meskipun	meskipun
meso	meso
mesopotamia	mesopotamia
mesti	mesti
mestika	mestika
metabolik	metabolik
metabolisme	metabolisme
metafisika	metafisika
meteor	meteor
meteorologi	meteorologi
meter	meter
metoda	metoda
metode	metode
metodis	metodis
metro	metro
metropolis	metropolis
metropolitan	metropolitan
meurah	murah
mewah	mewah
mewakili	mewakili
mewujudkan	mewujudkan
meyakinkan	meyakinkan
mg	mg
mi	mi
mie	mie
migrasi	migrasi
mikologi	mikologi
mikro	mikro
mikroorganisme	mikroorganisme
mikroskopik	mikroskopik
mikroskopis	mikroskopis
mil	mil
milenium	milenium
mili	mili
miliak	milik
miliar	miliar
miliaran	miliaran
milik	milik
miliknyo	miliknya
militan	militan
militer	militer
mimbar	mimbar
mimpi	mimpi
mina	mina
minahasa	minahasa
minaik	minat
minaiknyo	minatnya
minang	minang
minangkabau	minangkabau
minantu	menantu
minantunyo	menantunya
minat	minat
minatnyo	minatnya
mineral	mineral
ming	ming
